Dog ID|Service ID|Date|Start time
1|2|06.04.2025|10:00
1|1|06.04.2025|19:00
1|1|06.04.2025|19:15
1|6|17.04.2025|17:30
3|6|07.04.2025|15:30
4|6|20.04.2025|17:00
7|6|17.04.2025|13:00
7|5|20.04.2025|09:00
7|5|21.04.2025|09:00
7|5|22.04.2025|09:00
7|7|23.04.2025|16:30
8|1|16.04.2025|08:30
8|1|17.04.2025|08:30
8|1|18.04.2025|08:30
9|10|01.04.2025|12:00
9|10|02.04.2025|10:00
9|9|03.04.2025|13:30
10|7|12.04.2025|07:30
10|5|11.04.2025|19:00
10|9|11.04.2025|10:00
13|1|16.04.2025|09:30
13|1|17.04.2025|09:30
13|6|18.04.2025|15:30
13|6|15.04.2025|17:00
