Date|Dog ID|Breakfast|Lunch|Snack|Dinner
05.07.2025|1|26|2|26|10
05.07.2025|9|6|6|24|2
06.07.2025|1|5|8|8|6
06.07.2025|9|25|14|25|14
06.07.2025|14|14|16|21|7
06.07.2025|10||16|21|7
07.07.2025|1|17|17||8
07.07.2025|9|12|4|20|4
07.07.2025|15|14|7|22|16
07.07.2025|13||7|22|16
08.07.2025|1||1||
08.07.2025|9|4|9||
09.07.2025|1|1|27|5|27
10.07.2025|1|27|3|1|3
10.07.2025|10|||19|9
12.07.2025|10|13|15|12|15
13.07.2025|10|23|2|13|10
14.07.2025|10|26|6|23|2
15.07.2025|10|6|||
16.07.2025|14||8|26|6
17.07.2025|14|5|17|24|8
18.07.2025|14|17|1|8|27
19.07.2025|14|1|27|5|3
20.07.2025|14|27|3|1|14
21.07.2025|1|25|14|25|16
22.07.2025|1|14|16|21|
05.08.2025|1|26|2|26|10
05.08.2025|9|6|6|24|2
06.08.2025|1|5|8|8|6
06.08.2025|9|25|14|25|14
06.08.2025|14|14|16|21|7
06.08.2025|10||16|21|7
07.08.2025|1|17|17||8
07.08.2025|9|12|4|20|4
07.08.2025|15|14|7|22|16
07.08.2025|13||7|22|16
08.08.2025|1||1||
08.08.2025|9|4|9||
09.08.2025|1|1|27|5|27
10.08.2025|1|27|3|1|3
10.08.2025|10|||19|9
12.08.2025|10|13|15|12|15
13.08.2025|10|23|2|13|10
14.08.2025|10|26|6|23|2
15.08.2025|10|6|||
16.08.2025|14||8|26|6
17.08.2025|14|5|17|24|8
18.08.2025|14|17|1|8|27
19.08.2025|14|1|27|5|3
20.08.2025|14|27|3|1|14
21.08.2025|1|25|14|25|16
22.08.2025|1|14|16|21|
05.05.2025|1|26|2|26|10
05.05.2025|9|6|6|24|2
06.05.2025|1|5|8|8|6
06.05.2025|9|25|14|25|14
06.05.2025|14|14|16|21|7
06.05.2025|10||16|21|7
07.05.2025|1|17|17||8
07.05.2025|9|12|4|20|4
07.05.2025|15|14|7|22|16
07.05.2025|13||7|22|16
08.05.2025|1||1||
08.05.2025|9|4|9||
09.05.2025|1|1|27|5|27
10.05.2025|1|27|3|1|3
10.05.2025|10|||19|9
12.05.2025|10|13|15|12|15
13.05.2025|10|23|2|13|10
14.05.2025|10|26|6|23|2
15.05.2025|10|6|||
16.05.2025|14||8|26|6
17.05.2025|14|5|17|24|8
18.05.2025|14|17|1|8|27
19.05.2025|14|1|27|5|3
20.05.2025|14|27|3|1|14
21.05.2025|1|25|14|25|16
22.05.2025|1|14|16|21|
05.06.2025|1|26|2|26|10
05.06.2025|9|6|6|24|2
06.06.2025|1|5|8|8|6
06.06.2025|9|25|14|25|14
06.06.2025|14|14|16|21|7
06.06.2025|10||16|21|7
07.06.2025|1|17|17||8
07.06.2025|9|12|4|20|4
07.06.2025|15|14|7|22|16
07.06.2025|13||7|22|16
08.06.2025|1||1||
08.06.2025|9|4|9||
09.06.2025|1|1|27|5|27
10.06.2025|1|27|3|1|3
10.06.2025|10|||19|9
12.06.2025|10|13|15|12|15
13.06.2025|10|23|2|13|10
14.06.2025|10|26|6|23|2
15.06.2025|10|6|||
16.06.2025|14||8|26|6
17.06.2025|14|5|17|24|8
18.06.2025|14|17|1|8|27
19.06.2025|14|1|27|5|3
20.06.2025|14|27|3|1|14
21.06.2025|1|25|14|25|16
22.06.2025|1|14|16|21|
