Dog ID|Service ID|Date|Start time
1|2|06.05.2025|10:00
1|1|06.05.2025|19:00
1|1|06.05.2025|19:15
1|6|17.05.2025|17:30
3|6|07.05.2025|15:30
4|6|20.05.2025|17:00
7|6|17.05.2025|13:00
7|5|20.05.2025|09:00
7|5|21.05.2025|09:00
7|5|22.05.2025|09:00
7|7|23.05.2025|16:30
8|1|16.05.2025|08:30
8|1|17.05.2025|08:30
8|1|18.05.2025|08:30
9|9|03.05.2025|13:30
9|10|01.05.2025|12:00
9|10|02.05.2025|10:00
10|7|12.05.2025|07:30
10|5|11.05.2025|19:00
10|9|11.05.2025|10:00
13|1|16.05.2025|09:30
13|1|17.05.2025|09:30
13|6|18.05.2025|15:30
13|6|15.05.2025|17:00
1|2|06.06.2025|10:00
1|1|06.06.2025|19:00
1|1|06.06.2025|19:15
1|6|17.06.2025|17:30
3|6|07.06.2025|15:30
4|6|20.06.2025|17:00
7|6|17.06.2025|13:00
7|5|20.06.2025|09:00
7|5|21.06.2025|09:00
7|5|22.06.2025|09:00
7|7|23.06.2025|16:30
8|1|16.06.2025|08:30
8|1|17.06.2025|08:30
8|1|18.06.2025|08:30
9|9|03.06.2025|13:30
9|10|01.06.2025|12:00
9|10|02.06.2025|10:00
10|7|12.06.2025|07:30
10|5|11.06.2025|19:00
10|9|11.06.2025|10:00
13|1|16.06.2025|09:30
13|1|17.06.2025|09:30
13|6|18.06.2025|15:30
13|6|15.06.2025|17:00
1|2|06.07.2025|10:00
1|1|06.07.2025|19:00
1|1|06.07.2025|19:15
1|6|17.07.2025|17:30
3|6|07.07.2025|15:30
4|6|20.07.2025|17:00
7|6|17.07.2025|13:00
7|5|20.07.2025|09:00
7|5|21.07.2025|09:00
7|5|22.07.2025|09:00
7|7|23.07.2025|16:30
8|1|16.07.2025|08:30
8|1|17.07.2025|08:30
8|1|18.07.2025|08:30
9|9|03.07.2025|13:30
9|10|01.07.2025|12:00
9|10|02.07.2025|10:00
10|7|12.07.2025|07:30
10|5|11.07.2025|19:00
10|9|11.07.2025|10:00
13|1|16.07.2025|09:30
13|1|17.07.2025|09:30
13|6|18.07.2025|15:30
13|6|15.07.2025|17:00
1|2|06.08.2025|10:00
1|1|06.08.2025|19:00
1|1|06.08.2025|19:15
1|6|17.08.2025|17:30
3|6|07.08.2025|15:30
4|6|20.08.2025|17:00
7|6|17.08.2025|13:00
7|5|20.08.2025|09:00
7|5|21.08.2025|09:00
7|5|22.08.2025|09:00
7|7|23.08.2025|16:30
8|1|16.08.2025|08:30
8|1|17.08.2025|08:30
8|1|18.08.2025|08:30
9|9|03.08.2025|13:30
9|10|01.08.2025|12:00
9|10|02.08.2025|10:00
10|7|12.08.2025|07:30
10|5|11.08.2025|19:00
10|9|11.08.2025|10:00
13|1|16.08.2025|09:30
13|1|17.08.2025|09:30
13|6|18.08.2025|15:30
13|6|15.08.2025|17:00
